cocktail_id,ingredient_id,measure
129,122,2 1/2 oz
129,172,1/2 oz
129,259,1/2 oz
129,171,1
130,277,1 oz 
130,12,1 oz 
130,140,1 oz 
131,122,2 oz 
131,162,Juice of 1/2 
131,224,1 tsp 
131,54,to taste
132,122,2 oz 
132,163,1 oz 
132,258,1/2 tsp superfine 
132,192,1 
132,179,1 
133,209,5 parts 
133,163,3 parts 
133,121,1 part 
133,247,1 part 
134,277,1 1/2 oz 
134,12,3/4 oz 
135,244,1 1/2 oz 
135,12,3/4 oz 
136,230,1 L 
136,278,125 ml 
136,258,60 gr 
136,70,1 
136,71,3 
136,164,1 tblsp 
137,122,4 cl
137,270,10 cl
137,164,1 Slice
137,146,cubes
138,122,2 oz 
138,278,2 tsp 
138,224,1/2 tsp 
138,164,1 twist of 
139,122,2 oz 
139,54,1 oz 
139,258,1 cube 
139,186,4 
139,192,1 slice 
139,61,1 
140,122,2 oz 
140,163,1 oz 
140,258,1/2 tsp superfine 
140,137,1/2 tsp 
140,179,1 
140,192,1 
141,122,6 cl
141,163,8 cl
141,164,1 Slice
141,146,cubes
142,122,2 oz 
142,162,Juice of 1/2 
142,224,1 tsp 
142,278,1 tsp 
142,196,Twist of 
143,277,1 1/2 oz
143,134,3 oz
144,122,2 oz 
144,137,1 tsp 
144,162,Juice of 1/2 
144,249,Top up with
144,171,Garnish
145,122,1 1/2 oz 
145,137,1 tsp 
145,224,1 tblsp 
145,216,3 chunks
145,256,2 
145,54,to taste
146,176,1 1/2 cl 
146,208,1 1/2 cl 
146,44,1 1/2 cl 
146,261,3 cl 
147,122,2 oz 
147,54,to taste
147,224,to taste
147,197,to taste
147,164,to taste
148,172,1 1/2 oz 
148,258,1 tsp superfine 
148,122,2 oz 
148,34,1 dash 
148,72,3 oz 
149,122,1 1/2 oz 
149,271,1 oz 
149,217,1 oz 
149,137,1/2 tsp 
149,216,1 
150,136,3/4 oz 
150,92,3/4 oz white 
150,167,3/4 oz 
151,156,1 oz 
151,1,1 oz Bacardi 
151,137,1 dash 
152,122,2 oz
152,249,5 oz
152,171,1/4
153,282,4 cl 
153,28,8 cl 
153,78,to taste
154,284,6 cl
154,141,2 cl
154,163,2 cl
155,281,50 ml
155,141,15 ml
155,70,1
155,162,1
155,71,2
156,144,5 shots 
156,264,very sweet 
157,164,1 long strip 
157,46,2 oz 
157,124,5 oz 
157,34,2 dashes 
158,253,1 1/2 cl 
158,124,to taste
158,171,to taste
158,146,to taste
159,276,25 ml
159,179,15 ml
159,259,10 ml
159,166,100 ml
159,37,2
160,64,1 bottle
160,196,3
160,229,1
160,71,10
160,123,6
160,277,20 cl
161,168,1 oz 
161,217,1 oz 
161,163,1 tsp 
162,132,to taste
162,53,", orange
"
162,245,to taste
162,245,to taste
163,258,2 1/2 cups 
163,85,1 cup 
163,78,1 1/2 oz instant 
163,273,2 oz 
163,278,3 cups boiling 
163,277,1 fifth 
164,149,1 shot 
164,28,3/4 shot 
164,78,6 oz hot 
165,277,1 oz 
165,121,1/2 oz 
165,195,4 oz 
166,122,2 oz 
166,271,1/2 oz 
166,217,1 tblsp 
167,238,12 parts
167,134,8 parts
167,180,3 parts
167,172,3 parts
168,244,1 1/2 oz 
168,262,3/4 oz 
168,193,2 dashes 
168,190,1 
169,66,12 oz fine 
169,48,1 tsp 
169,273,1/2 tsp 
169,139,1 cup 
169,181,mini 
170,171,½
170,47,2 tsp
170,202,4 cl
170,124,top up with
170,146,fill
171,277,1 1/2 oz 
171,147,6 oz 
171,163," to taste
"
172,78,1/4 cup instant 
172,258,1/4 cup 
172,278,1/4 cup hot 
172,185,4 cups cold 
173,244,1 cup 
173,139,1 1/4 cup 
173,83,1 can sweetened 
173,77,3 drops 
173,68,1 tblsp 
174,149,1 1/2 oz 
174,78,8 oz 
174,258,1 tsp 
174,279,1 tblsp 
175,149,1 oz 
175,206,1/2 oz 
175,195,1 oz 
175,261,1 oz 
175,192,1 slice 
175,61,1 
176,168,1/2 oz 
176,42,1 1/2 oz 
176,162,Juice of 1/2 
176,224,1 tsp 
176,54,to taste
177,277,1 shot 
177,156,1 shot 
177,73,1 dash 
177,138,Fill with 
178,172,4 cl 
178,122,2 cl 
178,17,4 cl 
179,156,2 tsp 
179,78,Strong cold 
180,28,3/4 oz 
180,45,3/4 oz 
180,277,3/4 oz 
180,195,2-3 oz 
181,28,2/3 oz
181,58,1/3 oz
181,259,1 tsp
181,258,2 pinches
182,122,2 jiggers 
182,277,1 jigger 
182,137,3 dashes 
182,172,1 shot 
182,258,Around rim put 1 pinch 
182,259,3 dashes 
182,249,Fill to top with 
183,151,1 oz 
183,12,1 oz 
184,38,1 oz 
184,15,1 oz 
185,277,2 cups 
185,153,3 packages 
185,278,3 cups 
186,80,1 shot 
186,168,1 shot Jamaican 
186,146,cubes
186,185,to taste
187,45,2 oz 
187,163,1 oz 
187,258,1 tsp superfine 
187,72,3 oz 
187,179,1 
187,192,1 
188,42,1 1/2 oz 
